# 新HSK教程1 – 词语表 (trang sách 122–128). cột: từ, pinyin, bài, siêu cương(*)
爱	ài	15	
八	bā	4	
爸爸	bàba	4	
吧	ba	7	
白天	báitiān	9	
百	bǎi	4	
半	bàn	7	
包子	bāozi	6	
杯	bēi	13	
杯子	bēizi	10	
本	běn	9	
边	bian/biān	9	
病	bìng	12	
病人	bìngrén	8	*
不客气	bú kèqi	1	
不要	búyào	14	
不	bù	2	
菜	cài	5,7	
茶	chá	13	
唱	chàng	9	
超市	chāoshì	6	
电视	diànshì	9	
电影	diànyǐng	7	
电影院	diànyǐngyuàn	7	
店	diàn	7	
东西	dōngxi	6	
都	dōu	14	
读	dú	11	
读书	dúshū	9	
对	duì	3,11	
对不起	duìbuqǐ	2	
多	duō	4,8	
多少	duōshao	4	
儿子	érzi	4	
二	èr	4	
车	chē	11	
吃	chī	6	
出租车	chūzūchē	6	
穿	chuān	10	
打电话	dǎ diànhuà	13	
大	dà	4,8	
大家	dàjiā	1	
大学	dàxué	11	
大学生	dàxuéshēng	11	
到	dào	8	
的	de	3	
弟弟	dìdi	11	
第	dì	9	
点	diǎn	7	
电话	diànhuà	6	
电脑	diànnǎo	5	
饭	fàn	8	
饭店	fàndiàn	11	
房间	fángjiān	8	
飞机	fēijī	15	
非常	fēicháng	6	
分	fēn	7	
分钟	fēnzhōng	7	
服务员	fúwùyuán	13	*
高兴	gāoxìng	2	
哥哥	gēge	4	
歌	gē	9	
个	gè	4	
给	gěi	13	
工作	gōngzuò	3,8	
公司	gōngsī	12	
狗	gǒu	9	
贵	guì	10	
国	guó	3	
还	hái	3	
孩子	háizi	4	
好	hǎo	1	
好吃	hǎochī	6	
好看	hǎokàn	5	
好听	hǎotīng	9	
好玩儿	hǎowánr	15	
号	hào	5,6	
喝	hē	12	
和	hé	4,9	
很	hěn	2	
后	hòu	7	
回	huí	12	
会	huì	5	
火车	huǒchē	14	
机场	jīchǎng	15	*
鸡蛋	jīdàn	13	
几	jǐ	4,15	
家	jiā	4,7,9	
家人	jiārén	15	
见	jiàn	7	
件	jiàn	10	
饺子	jiǎozi	5	
叫	jiào	2	
