# 旧字新词 – từ mới ghép từ chữ đã học (thuộc từ mới của bài): từ, pinyin, từ loại, bài, chữ/từ đã học
不少	bùshǎo	tt.	14	不、少
车	chē	dt.	14	出租车
吃饭	chī fàn	đgt.	11	吃、米饭
大学	dàxué	dt.	15	大、学校
分	fēn	lượng.	11	分钟
国	guó	dt.	4	中国
汉字	Hànzì	dt.	6	汉语、字
后	hòu	dt.	14	后面
回来	huílai	đgt.	14	回、起来
今年	jīnnián	dt.	5	今天、年
没	méi	phó.	10	没有
那儿	nàr	đt.	9	那、哪儿
你们	nǐmen	đt.	1	你、我们
前	qián	dt.	11	前面
太……了	tài……le		12	太、了
下	xià	đgt.	12	下雨
下面	xiàmiàn	dt.	9	下、前面
学	xué	đgt.	13	学习
雨	yǔ	dt.	12	下雨
这儿	zhèr	đt.	10	这、哪儿
这些	zhèxiē	đt.	14	这、些
