# HSK标准教程1 (Giáo trình chuẩn HSK 1) – 词语总表/生词 (trang sách 132–). cột: từ, pinyin, từ loại (viết tắt của sách), bài, ghi chú
爱	ài	đgt.	12	
八	bā	số.	5	chú thích
爸爸	bàba	dt.	9	
杯子	bēizi	dt.	8	
本	běn	lượng.	10	
不客气	bú kèqi		2	
不	bù	phó.	2	
菜	cài	dt.	6	
茶	chá	dt.	8	
吃	chī	đgt.	8	
出租车	chūzūchē	dt.	15	
打电话	dǎ diànhuà		13	
大	dà	tt.	5	
的	de	trợ.	4	
点	diǎn	lượng.	11	
电脑	diànnǎo	dt.	10	
电视	diànshì	dt.	13	
电影	diànyǐng	dt.	11	
东西	dōngxi	dt.	14	
都	dōu	phó.	14	
读	dú	đgt.	6	
对不起	duìbuqǐ	đgt.	1	
多	duō	phó.	5	
多少	duōshao	đt.	8	
儿子	érzi	dt.	9	
二	èr	số.	5	chú thích
饭店	fàndiàn	dt.	15	
飞机	fēijī	dt.	15	
分钟	fēnzhōng	dt.	14	
高兴	gāoxìng	tt.	15	
个	gè	lượng.	8	
工作	gōngzuò	đgt./dt.	9	
狗	gǒu	dt.	9	
汉语	Hànyǔ	dt.	4	
好	hǎo	tt.	1	
号	hào	dt.	7	
喝	hē	đgt.	8	
和	hé	liên.	10	
很	hěn	phó.	6	
后面	hòumiàn	dt.	10	
回	huí	đgt.	11	
会	huì	đtnn.	6	
几	jǐ	đt.	5	
家	jiā	dt.	5	
叫	jiào	đgt.	3	
今天	jīntiān	dt.	7	
九	jiǔ	số.	5	chú thích
开	kāi	đgt.	14	
看	kàn	đgt.	7	
看见	kàn jiàn	đgt.	14	
块	kuài	lượng.	8	
来	lái	đgt.	12	
老师	lǎoshī	dt.	3	
了	le	trợ.	5	
冷	lěng	tt.	12	
里	li	dt.	10	
六	liù	số.	5	chú thích
妈妈	māma	dt.	6	
吗	ma	trợ.	3	
买	mǎi	đgt.	8	
猫	māo	dt.	9	
没关系	méi guānxi		1	
没有	méiyǒu	phó.	10	
米饭	mǐfàn	dt.	8	
名字	míngzi	dt.	3	
明天	míngtiān	dt.	7	
哪	nǎ	đt.	4	
哪儿	nǎr	đt.	9	
那	nà	đt.	8	
呢	ne	trợ.	4	
能	néng	đtnn.	10	
你	nǐ	đt.	1	
年	nián	dt.	15	
女儿	nǚ'ér	dt.	5	
朋友	péngyou	dt.	4	
漂亮	piàoliang	tt.	14	
苹果	píngguǒ	dt.	14	
七	qī	số.	5	chú thích
前面	qiánmiàn	dt.	10	
钱	qián	dt.	8	
请	qǐng	đgt.	7	
去	qù	đgt.	7	
热	rè	tt.	12	
人	rén	dt.	3	
认识	rènshi	đgt.	15	
三	sān	số.	5	chú thích
商店	shāngdiàn	dt.	8	
上	shang	dt.	10	
上午	shàngwǔ	dt.	13	
少	shǎo	tt.	14	
谁	shéi	đt.	4	
什么	shénme	đt.	3	
十	shí	số.	5	chú thích
时候	shíhou	dt.	11	
是	shì	đgt.	3	
书	shū	dt.	7	
水	shuǐ	dt.	12	
水果	shuǐguǒ	dt.	12	
睡觉	shuì jiào	đgt.	13	
说	shuō	đgt.	6	
四	sì	số.	5	chú thích
岁	suì	lượng.	5	
他	tā	đt.	4	
她	tā	đt.	4	
太	tài	phó.	12	
天气	tiānqì	dt.	12	
听	tīng	đgt.	15	
同学	tóngxué	dt.	4	
喂	wèi	ct.	13	
我	wǒ	đt.	3	
我们	wǒmen	đt.	11	
五	wǔ	số.	5	chú thích
喜欢	xǐhuan	đgt.	13	
下	xià	dt.	9	
下午	xiàwǔ	dt.	8	
下雨	xià yǔ		12	
先生	xiānsheng	dt.	14	
现在	xiànzài	dt.	11	
想	xiǎng	đtnn.	8	
小	xiǎo	tt.	9	
小姐	xiǎojiě	dt.	12	
些	xiē	lượng.	12	
写	xiě	đgt.	6	
谢谢	xièxie	đgt.	2	
星期	xīngqī	dt.	7	
学生	xuésheng	dt.	3	
学习	xuéxí	đgt.	13	
学校	xuéxiào	dt.	7	
一	yī	số.	5	chú thích
衣服	yīfu	dt.	14	
医生	yīshēng	dt.	9	
医院	yīyuàn	dt.	9	
椅子	yǐzi	dt.	9	
一点儿	yìdiǎnr	sl.	14	
有	yǒu	đgt.	5	
月	yuè	dt.	7	
再见	zàijiàn	đgt.	2	
在	zài	đgt./giới.	9	
怎么	zěnme	đt.	6	
怎么样	zěnmeyàng	đt.	12	
这	zhè	đt.	8	
中午	zhōngwǔ	dt.	11	
住	zhù	đgt.	11	
桌子	zhuōzi	dt.	10	
字	zì	dt.	6	
昨天	zuótiān	dt.	7	
坐	zuò	đgt.	10	
做	zuò	đgt.	6	
