# 新HSK教程2 – 词语表 (trang sách 141–146). cột: từ, pinyin, bài, siêu cương(*)
啊	a	2	
爱好	àihào	7	
爱情片	àiqíngpiàn	8	*
白色	báisè	4	
班	bān	13	
帮	bāng	10	
帮忙	bāngmáng	1	
包	bāo	14	
本子	běnzi	10	
比	bǐ	8	
笔	bǐ	10,13	
别	bié	2	
不错	búcuò	3	
不好意思	bù hǎoyìsi	1	
长	cháng	6	
车站	chēzhàn	2	
出国	chūguó	15	
出门	chūmén	15	
出去	chūqù	3	
床	chuáng	6	
词	cí	10	
次	cì	1	
从	cóng	7	
从小	cóngxiǎo	12	
错	cuò	10	
打	dǎ	7	
打车	dǎchē	2	
打开	dǎkāi	6	
但	dàn	2	
但是	dànshì	8	
蛋糕	dàngāo	6	*
地	de	6	
得	de	7	
等	děng	5	
地铁	dìtiě	12	
点	diǎn	8	
懂	dǒng	1	
动	dòng	11	
饭馆	fànguǎn	8	
房子	fángzi	14	*
飞	fēi	15	
高	gāo	9	
高中	gāozhōng	15	
告诉	gàosu	13	
个子	gèzi	9	
给	gěi	1	
跟	gēn	5	
更	gèng	4	*
公交车	gōngjiāochē	2	
过	guò	6	
过来	guòlái	2	
过年	guònián	14	
过去	guòqù	4	
过	guo	4	
还是	háishi	2,10	
好	hǎo	12	
好像	hǎoxiàng	15	*
黑色	hēisè	4	
红色	hóngsè	4	
后面	hòumiàn	10	
花	huā	8,13	
画	huà	6	
画笔	huàbǐ	6	*
坏	huài	9	
回来	huílái	3	
回去	huíqù	3	
机场	jīchǎng	15	
机票	jīpiào	15	
记得	jìde	8	
间	jiān	2	
教	jiāo	13	
教室	jiàoshì	2	
接	jiē	1	*
介绍	jièshào	1	
进	jìn	11	
进来	jìnlái	5	
进去	jìnqù	4	
近	jìn	9	
经常	jīngcháng	11	
酒店	jiǔdiàn	5	
就	jiù	1	
咖啡	kāfēi	9	
开始	kāishǐ	7	
开学	kāixué	10	
考	kǎo	10	
考试	kǎoshì	10	
可能	kěnéng	13	
裤子	kùzi	4	
快	kuài	5	
快乐	kuàilè	6	
快要	kuàiyào	10	
篮球	lánqiú	7	
累	lèi	3	
离	lí	9	
礼物	lǐwù	5	*
里面	lǐmiàn	13	
楼	lóu	12	
路	lù	15	
路上	lùshang	11	
旅游	lǚyóu	1	
绿色	lǜsè	4	
慢	màn	11	
没意思	méi yìsi	14	
每	měi	3	
门	mén	10	
门口	ménkǒu	9	
门票	ménpiào	15	
面	miàn	5	
名	míng	2	
拿	ná	3	
那	nà	1	
那么	nàme	9	
那样	nàyàng	13	
奶茶	nǎichá	5	
奶奶	nǎinai	5	
男孩儿	nánháir	9	
鸟	niǎo	15	
女孩儿	nǚháir	14	
旁边	pángbiān	9	
跑	pǎo	7	
跑步	pǎobù	7	
票	piào	2	
妻子	qīzi	8	
前面	qiánmiàn	14	
晴	qíng	12	
球	qiú	7	
让	ràng	1	
肉	ròu	6	
商场	shāngchǎng	4	
上来	shànglái	5	
上面	shàngmiàn	13	
上去	shàngqù	5	
上网	shàngwǎng	13	
身体	shēntǐ	11	
生日	shēngrì	6	
时	shí	11	
事情	shìqing	12	
试	shì	4	*
手	shǒu	3	
手表	shǒubiǎo	8	
书包	shūbāo	4	
舒服	shūfu	6	
送	sòng	3	
虽然	suīrán	8	
所以	suǒyǐ	4	
疼	téng	11	
踢	tī	7	
题	tí	10	
条	tiáo	4	
跳舞	tiàowǔ	14	
头	tóu	11	
外国	wàiguó	2	
外面	wàimiàn	12	
完	wán	3	
万	wàn	2	
网上	wǎngshang	2	
往	wǎng	7	
忘	wàng	6	
为什么	wèi shénme	3	
位	wèi	14	
希望	xīwàng	13	
洗	xǐ	3	
洗手间	xǐshǒujiān	13	
下来	xiàlái	5	
下面	xiàmian	5	
下去	xiàqù	5	
小孩儿	xiǎoháir	14	
小时候	xiǎoshíhou	12	
笑	xiào	10	
新年	xīnnián	13	*
姓	xìng	14	
姓名	xìngmíng	15	
颜色	yánsè	4	
眼睛	yǎnjing	14	
药	yào	11	
药店	yàodiàn	11	
爷爷	yéye	5	
一会儿	yíhuìr	5	
一起	yìqǐ	3	
已经	yǐjīng	1	
意思	yìsi	1	
因为	yīnwèi	4	
阴	yīn	12	
游	yóu	7	
游泳	yóuyǒng	7	
有时	yǒushí	1	
有意思	yǒu yìsi	8	
右	yòu	8	
右边	yòubian	8	
鱼	yú	6	
远	yuǎn	2	
运动	yùndòng	7	
站	zhàn	12,14	
丈夫	zhàngfu	8	
这么	zhème	3	
这样	zhèyàng	9	
着	zhe	11	
正	zhèng	12	
周	zhōu	9	
准备	zhǔnbèi	5	
自己	zìjǐ	3	
走	zǒu	5	
走路	zǒulù	9	
足球	zúqiú	7	
最	zuì	11	
左	zuǒ	8	
左边	zuǒbian	8	
